danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist_genre
0.569,0.974,5,-4.825,0,0.0435,0.00575,0.962,0.232,0.0683,130.039,144082,edm
0.686,0.722,2,-5.4,1,0.256,0.108,0,0.494,0.515,94.006,205707,latin
0.766,0.841,9,-7.777,1,0.0791,0.000038,0.861,0.124,0.329,124.012,379355,edm
0.624,0.657,5,-7.636,0,0.134,0.0419,0,0.22,0.452,104.894,121143,edm
0.486,0.759,7,-4.905,1,0.0422,0.00831,0.000002,0.141,0.31,159.982,167288,pop
0.49,0.907,5,-4.063,0,0.108,0.000427,0,0.116,0.21,132.057,148837,edm
0.853,0.766,1,-3.527,0,0.0401,0.0247,0.000003,0.272,0.835,96.01,197013,latin
0.762,0.724,11,-6.309,0,0.0624,0.138,0.000077,0.187,0.775,132.051,162733,edm
0.453,0.968,11,-4.734,0,0.104,0.0162,0.000059,0.153,0.432,75.102,148000,rap
0.871,0.472,4,-11.077,1,0.0756,0.74,0.286,0.145,0.707,124.04,160720,pop
0.752,0.698,11,-6.53,1,0.306,0.52,0,0.211,0.347,132.058,159453,pop
0.713,0.62,0,-4.513,1,0.0422,0.171,0.000001,0.118,0.206,130.09,211785,rap
0.563,0.182,0,-14.931,1,0.039,0.78,0.0222,0.134,0.115,129.937,197280,pop
0.607,0.635,6,-8.165,1,0.229,0.0796,0.000016,0.112,0.588,97.941,210662,edm
0.742,0.769,7,-7.502,1,0.236,0.00452,0.000009,0.328,0.621,92.178,229307,rap
0.864,0.552,11,-4.648,1,0.202,0.199,0,0.126,0.33,150.05,259453,rap
0.78,0.726,6,-6.486,1,0.0612,0.0377,0.00337,0.133,0.623,122.007,151230,edm
0.698,0.844,0,-6.267,1,0.156,0.0102,0.0329,0.384,0.438,127.993,232500,pop
0.608,0.883,11,-4.845,0,0.0315,0.0619,0.0692,0.152,0.611,129.987,237546,pop
0.59,0.672,1,-11.792,1,0.412,0.125,0.000001,0.147,0.688,206.247,286440,rap
0.6,0.873,10,-4.773,0,0.0795,0.0009,0.00102,0.156,0.295,122.045,146448,edm
0.702,0.781,0,-4.081,1,0.03,0.433,0,0.135,0.382,102.997,286322,pop
0.467,0.765,6,-7.846,1,0.0311,0.00416,0.000059,0.708,0.186,125.013,278267,latin
0.669,0.844,1,-3.774,0,0.122,0.222,0,0.219,0.266,127.067,190866,edm
0.509,0.689,1,-4.929,0,0.102,0.0209,0,0.301,0.297,170.087,193798,edm
0.718,0.543,4,-11.238,1,0.0372,0.0606,0.0988,0.0646,0.37,115.522,286107,rock
0.548,0.888,11,-3.971,1,0.066,0.000786,0.00737,0.109,0.446,140.028,210036,rock
0.747,0.7,0,-4.669,1,0.341,0.136,0.000167,0.11,0.62,176.036,225933,latin
0.661,0.754,1,-8.905,0,0.0322,0.000742,0.299,0.0952,0.492,123.989,227306,pop
0.677,0.564,10,-10.319,1,0.0507,0.486,0.000039,0.103,0.498,96.008,195000,pop
0.642,0.933,4,-2.887,0,0.0871,0.0657,0.00001,0.087,0.158,150.039,182400,rap
0.616,0.761,3,-9.199,1,0.126,0.196,0.0025,0.374,0.708,145.074,240600,rock
0.763,0.687,4,-6.686,0,0.146,0.074,0,0.0922,0.506,155.1,128460,rap
0.611,0.825,1,-4.964,1,0.0321,0.000337,0.139,0.215,0.323,126,343033,edm
0.816,0.806,2,-3.023,0,0.0563,0.0347,0.00009,0.255,0.822,79.987,232550,latin
0.802,0.535,9,-11.642,0,0.0629,0.00711,0.889,0.0925,0.481,124.507,451180,edm
0.875,0.931,9,-5.26,0,0.092,0.00164,0.000585,0.0757,0.681,128.012,180180,edm
0.797,0.962,1,-4.239,1,0.0906,0.000359,0.767,0.0454,0.422,128.047,180502,edm
0.532,0.659,1,-4.198,0,0.437,0.00505,0.287,0.307,0.586,127.339,176240,edm
0.421,0.7,5,-7.976,1,0.0518,0.263,0.00001,0.147,0.588,79.798,215267,rock
0.426,0.838,0,-4.38,1,0.0362,0.0532,0.000003,0.0829,0.182,81.089,288600,rock
0.604,0.737,7,-6.174,1,0.292,0.277,0,0.305,0.683,88.243,237613,rap
0.589,0.404,0,-12.082,0,0.0379,0.857,0.416,0.12,0.663,152.457,212573,rock
0.707,0.88,6,-4.268,0,0.0764,0.0613,0,0.0656,0.379,93.032,213187,latin
0.626,0.482,0,-7.504,0,0.0261,0.715,0.826,0.113,0.182,147.986,269401,edm
0.719,0.875,0,-4.261,1,0.0381,0.141,0,0.188,0.921,141.977,220893,latin
0.815,0.774,0,-5.041,1,0.165,0.00355,0.426,0.353,0.201,127.969,132500,edm
0.755,0.496,2,-7.412,1,0.0787,0.197,0.000194,0.338,0.718,76.528,204240,pop
0.784,0.494,1,-7.235,1,0.129,0.0686,0.000005,0.103,0.642,133.959,161907,rap
0.306,0.794,5,-1.657,0,0.0634,0.000059,0.0801,0.3,0.302,147.163,208973,pop
0.856,0.465,6,-6.479,0,0.0451,0.00392,0.897,0.0795,0.32,122.021,318694,edm
0.637,0.846,1,-3.663,1,0.0346,0.0437,0,0.105,0.634,103.119,208493,rock
0.588,0.627,5,-7.249,0,0.0453,0.0149,0.105,0.375,0.39,112.018,182143,pop
0.769,0.437,1,-6.406,1,0.0363,0.44,0,0.116,0.737,103.921,186443,latin
0.646,0.828,10,-4.642,1,0.0375,0.122,0.000016,0.162,0.63,108.006,170740,latin
0.911,0.562,2,-6.222,1,0.168,0.42,0.000004,0.343,0.649,138.98,283573,rap
0.67,0.818,1,-7.373,1,0.0315,0.00609,0,0.0754,0.552,130.036,152080,rap
0.593,0.796,6,-9.404,1,0.0318,0.124,0.494,0.116,0.867,156.308,235107,pop
0.658,0.901,7,-2.814,1,0.0357,0.0478,0,0.12,0.708,93.979,210520,pop
0.759,0.928,10,-7.274,0,0.0402,0.00036,0.703,0.0719,0.444,127.978,161250,edm
0.813,0.687,1,-10.178,1,0.152,0.0562,0,0.113,0.733,103.196,237533,rap
0.659,0.623,4,-2.253,1,0.0451,0.0667,0,0.582,0.439,88.042,181824,latin
0.612,0.843,8,-4.552,1,0.0431,0.152,0.00163,0.402,0.322,125.997,181187,pop
0.821,0.684,7,-5.931,0,0.333,0.343,0.000002,0.234,0.744,100.054,160063,rap
0.726,0.398,4,-12.767,0,0.241,0.213,0.155,0.127,0.536,91.599,255200,rap
0.691,0.982,2,-2.894,1,0.13,0.00301,0.195,0.244,0.364,128.03,330013,edm
0.724,0.973,7,-6.539,1,0.149,0.00272,0.499,0.339,0.24,149.926,186833,rap
0.74,0.592,1,-5.003,0,0.0874,0.0166,0,0.275,0.373,140.12,181714,rap
0.687,0.702,7,-5.324,0,0.0455,0.0064,0.000044,0.204,0.284,129.956,214840,latin
0.898,0.624,9,-7.414,1,0.334,0.0737,0,0.246,0.854,140.034,129035,rap
0.644,0.945,7,-5.158,1,0.0415,0.019,0.000003,0.14,0.832,101.994,217741,latin
0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.139,0.788,129.992,204160,pop
0.519,0.833,6,-6.947,0,0.0496,0.00572,0.000004,0.104,0.532,138.225,310080,rock
0.893,0.48,1,-3.728,0,0.356,0.00854,0,0.116,0.382,86.976,170638,rap
0.884,0.266,9,-11.902,1,0.0768,0.745,0.0439,0.105,0.0466,120.021,197590,rap
0.655,0.739,9,-7.778,1,0.0575,0.317,0.000266,0.0987,0.503,155.129,381107,rock
0.776,0.684,11,-4.95,1,0.0511,0.134,0,0.254,0.658,91.003,228467,latin
0.634,0.69,6,-7.804,1,0.052,0.0771,0,0.132,0.645,94.988,253307,latin
0.687,0.828,6,-7.911,0,0.456,0.523,0,0.34,0.0999,159.934,301573,rap
0.334,0.929,2,-4.215,1,0.0958,0.000097,0.00222,0.164,0.473,146.244,255400,rock
0.677,0.839,0,-6.712,1,0.0338,0.0851,0.842,0.0791,0.555,102.997,215520,pop
0.625,0.707,2,-4.761,1,0.0337,0.22,0,0.213,0.479,138.064,248156,pop
0.85,0.893,5,-4.783,1,0.0623,0.0138,0.000004,0.372,0.0391,109.025,98821,rap
0.774,0.774,9,-4.19,1,0.0516,0.233,0.000078,0.138,0.489,95.998,222302,latin
0.659,0.689,8,-9.87,0,0.0322,0.412,0,0.384,0.835,110.021,176222,latin
0.54,0.674,4,-8.734,1,0.0296,0.0978,0.156,0.147,0.165,95.036,195107,pop
0.762,0.74,1,-4.72,0,0.226,0.201,0,0.275,0.961,167.881,195493,latin
0.862,0.4,4,-7.486,1,0.0736,0.00575,0.000007,0.123,0.596,122.963,186613,edm
0.717,0.527,9,-10.779,1,0.0292,0.567,0.00668,0.0785,0.731,116.288,246667,rock
0.592,0.877,2,-4.05,0,0.0502,0.0095,0.000171,0.131,0.712,117.106,241849,rock
0.806,0.715,0,-6.092,1,0.228,0.218,0,0.118,0.604,124.943,160320,pop
0.496,0.797,9,-5.579,1,0.184,0.11,0,0.25,0.384,150.071,170400,pop
0.706,0.606,11,-5.362,1,0.0386,0.000725,0.000358,0.107,0.897,102,196253,rock
0.758,0.802,9,-4.507,1,0.0383,0.0528,0,0.183,0.804,98.022,171320,latin
0.842,0.29,11,-12.099,0,0.121,0.228,0.904,0.114,0.405,79.985,212079,rap
0.541,0.982,2,-4.908,1,0.107,0.00767,0.000765,0.291,0.722,104.03,308360,pop
0.425,0.717,0,-9.784,1,0.0295,0.00348,0.00025,0.782,0.512,144.806,180587,rock
0.845,0.705,2,-3.239,1,0.197,0.331,0,0.14,0.287,86.989,253793,rap
0.677,0.935,10,-5.873,1,0.0439,0.374,0,0.446,0.675,127.999,191407,latin
0.865,0.617,11,-7.639,0,0.0817,0.112,0.000001,0.0959,0.788,139.926,156000,rap
0.571,0.496,11,-7.36,1,0.0694,0.356,0.000001,0.0924,0.238,119.779,219854,pop
0.55,0.854,1,-4.248,0,0.0422,0.05,0.000019,0.159,0.384,127.973,288014,edm
0.808,0.728,1,-4.658,0,0.21,0.00307,0,0.413,0.672,167.889,287467,rap
0.553,0.862,9,-5.521,0,0.506,0.158,0,0.109,0.716,123.743,166253,rap
0.756,0.816,6,-5.521,1,0.0488,0.222,0,0.0943,0.623,90.964,196483,latin
0.537,0.859,6,-5.336,1,0.0333,0.000318,0.00441,0.096,0.369,135.971,273600,rock
0.672,0.788,10,-8.393,0,0.0398,0.123,0.367,0.0829,0.357,121.99,204568,edm
0.867,0.5,2,-10.75,1,0.161,0.0278,0.00161,0.0874,0.507,105.008,164599,latin
0.744,0.798,7,-5.981,1,0.0364,0.175,0.00367,0.26,0.89,125.061,268507,rock
0.666,0.936,7,-9.919,1,0.0476,0.00244,0.086,0.153,0.776,91.577,282907,rock
0.417,0.535,7,-8.619,1,0.0264,0.000384,0.000154,0.125,0.0774,92.069,295867,rock
0.805,0.852,10,-4.337,1,0.0986,0.437,0.000001,0.0798,0.714,94.053,107572,latin
0.656,0.614,6,-4.973,0,0.102,0.558,0.000862,0.215,0.35,128.038,153750,latin
0.834,0.583,0,-6.895,1,0.0342,0.109,0.000006,0.0622,0.897,105.002,327995,rap
0.831,0.499,11,-8.442,0,0.114,0.269,0,0.3,0.511,97.956,220487,rap
0.62,0.832,10,-4.848,1,0.036,0.332,0,0.104,0.481,144.926,230120,latin
0.49,0.938,1,-3.916,1,0.129,0.00234,0.000022,0.186,0.437,196.143,274160,rock
0.662,0.487,5,-9.028,1,0.0325,0.474,0.000114,0.0929,0.33,122.057,204907,pop
0.514,0.72,1,-8.507,1,0.206,0.976,0.0727,0.91,0.977,85.811,29493,rap
0.665,0.634,1,-5.484,1,0.029,0.0149,0,0.104,0.151,125.055,271849,pop
0.506,0.726,5,-5.964,0,0.0366,0.00308,0.000081,0.266,0.266,128.044,204418,edm
0.631,0.74,0,-10.798,0,0.0301,0.358,0.765,0.159,0.901,97.081,141442,rock
0.484,0.875,4,-5.237,1,0.0541,0.00154,0.000096,0.169,0.724,150.021,184436,pop
0.659,0.843,6,-7.039,1,0.094,0.0586,0.000001,0.0802,0.745,178.869,219454,latin
0.614,0.789,9,-10.241,1,0.0342,0.0342,0.00132,0.114,0.899,113.701,187800,rock
0.716,0.871,0,-7.336,0,0.0606,0.0287,0.000006,0.117,0.967,123.851,188720,latin
0.856,0.696,6,-3.51,1,0.226,0.0405,0.000009,0.0901,0.718,89.738,278200,rap
0.573,0.887,9,-5.844,1,0.0356,0.0266,0.000004,0.0911,0.764,159.937,211973,pop
0.653,0.928,1,-3.937,1,0.0885,0.00213,0.601,0.649,0.239,150.025,249600,rap
0.872,0.519,7,-7.302,1,0.0682,0.312,0.000338,0.0453,0.783,120.006,160625,pop
0.837,0.562,11,-4.807,0,0.113,0.331,0.000014,0.203,0.356,94.067,211115,rap
0.482,0.807,0,-6.976,1,0.0457,0.0281,0,0.177,0.516,187.918,254547,rock
0.774,0.8,11,-2.716,0,0.0311,0.0746,0.000004,0.0703,0.444,124.957,154560,edm
0.681,0.407,9,-9.795,1,0.504,0.0305,0,0.0919,0.155,193.122,233507,rap
0.699,0.743,11,-6.922,0,0.0496,0.000181,0.828,0.0458,0.816,125.964,202062,edm
0.624,0.278,5,-12.672,1,0.0491,0.691,0.00176,0.0908,0.389,152.656,280680,latin
0.496,0.865,0,-3.241,0,0.131,0.236,0,0.317,0.323,125.909,219509,edm
0.8,0.882,11,-4.436,0,0.0419,0.0216,0.503,0.0247,0.964,129.94,192800,pop
0.622,0.838,1,-6.363,1,0.0313,0.00807,0,0.167,0.164,123.083,195122,latin
0.479,0.8,10,-5.778,0,0.0878,0.00555,0,0.335,0.211,128.012,208656,edm
0.291,0.755,5,-4.95,0,0.05,0.0621,0,0.0836,0.457,145.343,242453,rock
0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,edm
0.328,0.502,10,-5.914,1,0.0329,0.767,0,0.759,0.248,123.745,269947,latin
0.854,0.554,8,-4.684,1,0.172,0.769,0.000002,0.0749,0.272,142.069,163121,rap
0.531,0.696,7,-12.497,1,0.0386,0.312,0.0228,0.293,0.628,141.373,291573,rock
0.705,0.702,0,-4.783,0,0.108,0.138,0,0.364,0.771,140.059,250493,rap
0.431,0.877,8,-5.677,0,0.121,0.041,0.00128,0.126,0.484,159.897,195093,edm
0.641,0.74,9,-6.347,1,0.0496,0.0611,0.000017,0.562,0.258,130.001,315000,edm
0.656,0.939,11,-1.277,0,0.0479,0.0271,0.0179,0.321,0.528,108.086,214444,edm
0.403,0.442,0,-4.523,1,0.0296,0.0573,0,0.124,0.208,175.828,243427,latin
