,playlist_genre,z_i_danceability,z_i_energy,z_i_key,z_i_loudness,z_i_mode,z_i_speechiness,z_i_acousticness,z_i_instrumentalness,z_i_liveness,z_i_valence,z_i_tempo,z_i_duration_ms,z_i_playlist_genre
22,pop,0.6042726,0.7219513,0.3636364,0.8527754,0.0,0.045382,0.0156942,0.0,0.0669679,0.4106963,0.580594,0.3820907,0.5
23,rap,0.785351,0.5809267,0.9090909,0.8286361,1.0,0.2839225,0.3420523,0.0,0.123494,0.7083754,0.6802027,0.4259395,0.3333333
24,rap,0.809766,0.4379016,0.0909091,0.7399158,1.0,0.3979475,0.4798793,8.65e-05,0.2158635,0.3218971,0.5767258,0.234939,0.3333333
25,pop,0.7039674,0.6619408,0.4545455,0.8750498,0.0,0.0448119,0.3571429,0.0,0.184739,0.8617558,0.5444355,0.3623908,0.5
26,latin,0.7263479,0.6259345,0.4545455,0.8757413,0.0,0.4823261,0.2615694,0.0,0.2851406,0.5166498,0.347897,0.6061385,0.6666667
27,edm,0.7355036,0.8089666,0.6363636,0.9087233,0.0,0.0712657,0.0034809,0.0012374,0.5672691,0.2764884,0.4449767,0.3358459,0.8333333
28,edm,0.6144456,0.8509739,0.9090909,0.8141777,0.0,0.0461802,0.0013682,0.0002294,0.1676707,0.1453078,0.5810163,0.4091474,0.8333333
29,rock,0.4059003,0.5729253,0.9090909,0.7754751,1.0,0.0288483,0.0294769,2.82e-05,0.0917671,0.654894,0.6679349,0.8289699,0.1666667
30,edm,0.4771109,0.9679944,0.0909091,0.9334912,1.0,0.3204105,0.0107646,0.0488934,0.2228916,0.3995964,0.6815284,0.3651155,0.8333333
31,rap,0.7802645,0.6669417,0.1818182,0.8021918,1.0,0.3671608,0.2796781,0.0,0.1094378,0.8657921,0.4283321,0.3933477,0.3333333
32,rap,0.5961343,0.7949641,1.0,0.7907717,1.0,0.2941847,0.3561368,0.0,0.187751,0.7003027,0.4272424,0.6045036,0.3333333
33,rock,0.671414,0.8359713,0.5454545,0.7150431,1.0,0.0533637,0.0440644,0.0996982,0.4297189,0.9061554,0.4748561,0.5240069,0.1666667
34,pop,0.6490336,0.9239867,0.6363636,0.8918341,1.0,0.040935,0.0020624,0.000174,0.1495984,0.5338042,0.5084857,0.5056091,0.5
35,rap,0.7426246,0.8279699,0.3636364,0.9105672,0.0,0.2474344,0.0632797,0.0,0.2359438,0.6831483,0.3727185,0.3866546,0.3333333
36,edm,0.6561546,0.759958,0.4545455,0.877669,0.0,0.0555302,0.0071127,0.2444668,0.7991968,0.3319879,0.5811434,0.3662774,0.8333333
37,edm,0.6795524,0.9709949,0.4545455,0.9338684,1.0,0.1653364,0.0043461,0.6086519,0.0478916,0.5479314,0.5765169,0.3848349,0.8333333
38,rock,0.6307223,0.3978946,0.1818182,0.6448044,1.0,0.0345496,0.5593561,7e-06,0.2740964,0.6831483,0.4824701,0.3164594,0.1666667
39,pop,0.8524924,0.5449204,0.4545455,0.8326174,1.0,0.0805017,0.2092555,8.05e-05,0.1034137,0.6367306,0.5221201,0.4215371,0.5
40,rap,0.7222787,0.7789613,0.3636364,0.8275674,0.0,0.0538198,0.1589537,0.0,0.1001004,0.3693239,0.586115,0.4774177,0.3333333
41,rock,0.6663276,0.605931,0.6363636,0.7556734,1.0,0.0324971,0.060664,0.0793763,0.076004,0.7719475,0.4997049,0.5599074,0.1666667
42,rock,0.353001,0.9739954,0.3636364,0.8631058,0.0,0.049829,3.32e-05,0.0554326,0.3453815,0.5792129,0.6901958,0.2784434,0.1666667
43,pop,0.6134283,0.8719776,0.4545455,0.8600465,0.0,0.0903079,0.0214286,0.0,0.3674699,0.6972755,0.6815103,0.3938674,0.5
44,latin,0.8321465,0.7069487,0.6363636,0.8570501,0.0,0.2576967,0.1649899,0.0,0.3313253,0.3097881,0.4222209,0.4593663,0.6666667
45,rock,0.5635809,0.8149676,0.0909091,0.7117532,1.0,0.0466363,0.011167,0.0488934,0.0513052,0.605449,0.4126591,0.5670053,0.1666667
46,rock,0.5961343,0.6999475,0.0,0.7730025,1.0,0.0413911,0.0592555,0.0012575,0.0319277,0.9051463,0.6685297,0.5671357,0.1666667
47,latin,0.8423194,0.5879279,0.1818182,0.8236699,1.0,0.1345496,0.0156942,0.0,0.124498,0.6034309,0.42702,0.4294992,0.6666667
48,pop,0.595117,0.7699597,0.2727273,0.8768099,1.0,0.0451539,0.022837,6e-06,0.0694779,0.3965691,0.5583922,0.4426792,0.5
49,rap,0.7639878,0.7859625,0.2727273,0.8173627,0.0,0.4367161,0.0126761,0.0,0.1074297,0.6851665,0.4358144,0.3830988,0.3333333
50,edm,0.646999,0.845973,0.1818182,0.897366,0.0,0.0334094,0.0516097,0.0015594,0.2078313,0.5903128,0.635908,0.2991475,0.8333333
51,edm,0.809766,0.925987,0.5454545,0.8700836,0.0,0.0457241,0.0027163,0.0,0.0601406,0.4621594,0.5722082,0.3295635,0.8333333
52,pop,0.8474059,0.4339009,0.1818182,0.7889906,1.0,0.4914481,0.0102616,0.0220322,0.1656627,0.283552,0.6813196,0.3904167,0.5
53,latin,0.7772126,0.616933,0.8181818,0.8430107,0.0,0.2930445,0.2967807,0.0,0.1827309,0.8980827,0.4130133,0.4287421,0.6666667
54,pop,0.8992879,0.65694,0.5454545,0.8775433,0.0,0.1114025,0.0059256,0.0,0.1546185,0.493441,0.486075,0.448985,0.5
55,pop,0.4364191,0.5529218,0.0909091,0.8719066,0.0,0.0762828,0.4607646,0.0,0.0769076,0.3854692,0.444736,0.3667815,0.5
56,latin,0.6581892,0.4509039,0.7272727,0.7831234,1.0,0.0852908,0.4899396,2e-06,0.1054217,0.4843592,0.6712629,0.4454818,0.6666667
57,pop,0.9247202,0.4719076,0.5454545,0.7994049,0.0,0.1299886,0.334004,0.0004447,0.1536145,0.5499495,0.504009,0.3383313,0.5
58,latin,0.8351984,0.8189683,0.0909091,0.8972822,1.0,0.0310148,0.0104628,5.53e-05,0.1455823,0.90111,0.5722082,0.3821393,0.6666667
59,edm,0.6144456,0.7959643,0.0909091,0.9226578,0.0,0.068073,0.0126761,0.0,0.1064257,0.2270434,0.5811116,0.3826804,0.8333333
60,edm,0.7873856,0.5209162,0.6363636,0.6943822,0.0,0.063854,0.1458753,0.3843058,0.1144578,0.5418769,0.5584104,0.4733617,0.8333333
61,rock,0.4384537,0.9909984,0.5454545,0.8402867,1.0,0.1356899,0.0413481,0.1358149,0.4226908,0.2623613,0.6310181,0.5525525,0.1666667
62,edm,0.6032553,0.8959818,0.4545455,0.9033171,1.0,0.0705815,0.0837022,0.0024648,0.2459839,0.3390515,0.5809527,0.4251747,0.8333333
63,latin,0.491353,0.8919811,0.4545455,0.8396371,0.0,0.0904219,0.4185111,1.01e-05,0.1214859,0.8466196,0.8141356,0.4310796,0.6666667
64,edm,0.809766,0.6539394,0.5454545,0.8421097,0.0,0.3979475,0.0514085,0.0029879,0.1164659,0.2169526,0.5679313,0.4110041,0.8333333
65,rap,0.8036623,0.7279524,0.1818182,0.7800641,1.0,0.4458381,0.3682093,0.0,0.1124498,0.4066599,0.4403047,0.5089294,0.3333333
66,pop,0.7019329,0.7859625,0.1818182,0.9112797,1.0,0.0789054,0.2303823,0.0,0.0800201,0.5882947,0.4542479,0.5044141,0.5
67,rock,0.4272635,0.6869452,0.8181818,0.8168388,1.0,0.0328392,0.000502,2e-06,0.3162651,0.3430878,0.7448014,0.4502404,0.1666667
68,rap,0.7253306,0.7979646,0.0909091,0.9073403,1.0,0.2497149,0.3682093,4e-06,0.246988,0.7275479,0.7994161,0.4225356,0.3333333
69,latin,0.9399797,0.7819618,0.9090909,0.8779415,0.0,0.0930445,0.2474849,0.0,0.0661647,0.7517659,0.4313695,0.3899243,0.6666667
70,edm,0.3886063,0.8089666,0.9090909,0.8737296,0.0,0.0583808,0.0083903,0.0,0.1345382,0.4137235,0.725696,0.4544481,0.8333333
71,edm,0.6093591,0.8869802,0.3636364,0.8901578,1.0,0.1122007,0.0193159,1e-06,0.3012048,0.889001,0.7760111,0.3694693,0.8333333
72,pop,0.3763988,0.822969,0.1818182,0.842424,1.0,0.0917902,0.0023541,2e-06,0.1746988,0.3259334,0.5811888,0.3726669,0.5
73,edm,0.4130214,0.879979,0.4545455,0.8566938,1.0,0.0811859,0.0184105,0.0,0.0735944,0.3864783,0.56034,0.3050719,0.8333333
74,pop,0.6276704,0.7619583,0.0,0.8317164,0.0,0.0870011,0.0027867,0.0,0.435743,0.3370333,0.5580608,0.4179502,0.5
75,pop,0.7222787,0.496912,0.6363636,0.7038535,0.0,0.0310148,0.1267606,1.71e-05,0.1425703,0.7729566,0.6036722,0.654925,0.5
76,edm,0.3611394,0.7889631,0.4545455,0.8819647,0.0,0.1881414,0.0148893,0.0,0.0356426,0.1705348,0.3652362,0.4548101,0.8333333
77,latin,0.6398779,0.9009827,0.6363636,0.8954383,1.0,0.4104903,0.3802817,0.0,0.2971888,0.5479314,0.8043605,0.4502832,0.6666667
78,latin,0.6998983,0.6199335,1.0,0.8050416,0.0,0.2508552,0.7575453,5e-06,0.1586345,0.7336024,0.7719249,0.6947315,0.6666667
79,rock,0.2848423,0.976996,1.0,0.8582864,1.0,0.1448119,0.02334,0.0158954,0.1385542,0.4793138,0.4558824,0.7827796,0.1666667
80,rap,0.6968464,0.6479384,1.0,0.8991891,0.0,0.1698974,0.8169014,0.0019115,0.2108434,0.3925328,0.5566306,0.4124832,0.3333333
81,latin,0.7253306,0.6949466,0.0909091,0.8080381,0.0,0.036488,0.0182093,2e-06,0.0705823,0.5983855,0.5546011,0.3026021,0.6666667
82,rap,0.5900305,0.7989648,0.9090909,0.8408943,0.0,0.4538198,0.4054326,0.0341046,0.4066265,0.7981837,0.3150982,0.1848932,0.3333333
83,rock,0.3133266,0.8729778,0.7272727,0.8781091,1.0,0.0607754,0.0002213,0.0007334,0.0977912,0.6922301,0.6516127,0.3942839,0.1666667
84,edm,0.6378433,0.9019828,0.0,0.9423129,0.0,0.1018244,0.0010362,0.0034909,0.0440763,0.3430878,0.5811389,0.7512505,0.8333333
85,edm,0.7365209,0.8129673,1.0,0.8800997,1.0,0.0394527,0.0328974,0.0104628,0.0498996,0.5146317,0.5720584,0.3295732,0.8333333
86,edm,0.5737538,0.8739779,1.0,0.9109863,0.0,0.0450399,0.0425553,0.0906439,0.1054217,0.4056509,0.6810199,0.3191841,0.8333333
87,pop,0.7131231,0.6999475,0.7272727,0.8342728,1.0,0.0873432,0.362173,2.92e-05,0.1656627,0.4359233,0.4538165,0.4178004,0.5
88,latin,0.7487284,0.8479734,0.4545455,0.8634411,1.0,0.1163056,0.2796781,0.0,0.085743,0.6962664,0.431138,0.3512329,0.6666667
89,pop,0.6215666,0.7579576,0.5454545,0.8385265,0.0,0.0432155,0.0020825,0.0413481,0.1295181,0.4490414,0.4585566,0.5968841,0.5
90,edm,0.8402848,0.502913,0.0,0.679819,1.0,0.0994299,0.0417505,0.8832998,0.0958835,0.6488396,0.5810889,0.2914501,0.8333333
91,latin,0.7802645,0.7379541,0.1818182,0.8195629,0.0,0.0461802,0.0054527,0.000505,0.2269076,0.2734612,0.476822,0.3235749,0.6666667
92,pop,0.7324517,0.8239692,0.5454545,0.8708799,1.0,0.0313569,0.0260563,2.72e-05,0.310241,0.5771948,0.4585656,0.4176641,0.5
93,pop,0.6408952,0.4589053,0.1818182,0.7644742,0.0,0.0397948,0.0882294,0.4979879,0.0988956,0.072553,0.5447624,0.365894,0.5
94,latin,0.7375381,0.902983,0.0,0.9113635,1.0,0.0750285,0.0346076,0.0,0.1837349,0.9545913,0.6447433,0.4041961,0.6666667
95,edm,0.6500509,0.8649764,0.0909091,0.8683025,1.0,0.040707,0.0046479,1e-06,0.2088353,0.6165489,0.5630369,0.4067651,0.8333333
96,rock,0.602238,0.3968945,0.1818182,0.7467678,0.0,0.077081,0.3561368,0.0008994,0.1194779,0.2068618,0.6812106,0.3528405,0.1666667
97,rock,0.3509664,0.5309179,0.0,0.7069966,1.0,0.0347777,0.0064588,7e-06,0.1405622,0.4944501,0.8004558,0.6027384,0.1666667
98,rock,0.768057,0.6039307,0.1818182,0.7670934,0.0,0.0517674,0.1841046,0.0338028,0.1285141,0.4954591,0.4440368,0.4499718,0.1666667
99,rock,0.6998983,0.7619583,0.6363636,0.8231251,1.0,0.0496009,0.0196177,0.0559356,0.1295181,0.5196771,0.427642,0.7904615,0.1666667
100,edm,0.612411,0.9649939,0.9090909,0.9531882,1.0,0.0843786,0.0002706,0.0020322,0.086245,0.2169526,0.5817881,0.375382,0.8333333
101,rap,0.6663276,0.462906,0.0,0.8081428,1.0,0.0492588,0.4547284,0.0,0.1064257,0.6498486,0.3566369,0.5872443,0.3333333
102,rock,0.6073245,0.2888756,1.0,0.7221046,0.0,0.0404789,0.7937626,0.0,0.1345382,0.3440969,0.613688,0.3808665,0.1666667
103,rap,0.8514751,0.7839622,0.0909091,0.8773966,0.0,0.1812999,0.0373239,0.0004095,0.1003012,0.554995,0.4444182,0.4608961,0.3333333
104,pop,0.6917599,0.4128973,0.7272727,0.7761038,1.0,0.5610034,0.1780684,0.0,0.2058233,0.3874874,0.7199935,0.6183161,0.5
105,rock,0.7029502,0.7619583,1.0,0.8377093,0.0,0.0418472,0.4647887,0.0287726,0.0807229,0.9656912,0.5816565,0.3572001,0.1666667
106,edm,0.7589013,0.9739954,0.7272727,0.9226578,0.0,0.1698974,0.0053722,0.0059557,0.310241,0.4056509,0.567677,0.3845332,0.8333333
107,rap,0.7182096,0.9469907,0.0909091,0.8757622,1.0,0.2075257,0.0177062,0.6016097,0.0531124,0.3007064,0.4539164,0.3871723,0.3333333
108,edm,0.7263479,0.8279699,0.2727273,0.8755736,1.0,0.068187,0.005171,0.1549296,0.3212851,0.209889,0.5631459,0.2860357,0.8333333
109,latin,0.768057,0.7399545,0.7272727,0.8550175,0.0,0.3523375,0.1257545,0.0,0.3343373,0.3279516,0.6200171,0.2752963,0.6666667
110,pop,0.8494405,0.5519216,0.6363636,0.8546403,1.0,0.0993158,0.0476861,0.0,0.077008,0.5358224,0.4404228,0.4168331,0.5
111,rock,0.5106816,0.416898,0.9090909,0.8126689,1.0,0.08187,0.1277666,0.0042153,0.1064257,0.2199798,0.8186123,0.5391876,0.1666667
112,pop,0.716175,0.7929638,0.7272727,0.925801,1.0,0.0673888,0.0490946,0.0,0.5773092,0.4157417,0.5809709,0.3808412,0.5
113,pop,0.7721261,0.6819443,0.4545455,0.8404333,0.0,0.0467503,0.0576459,0.0,0.1064257,0.4702321,0.4946198,0.3465347,0.5
114,rap,0.7975585,0.54292,0.5454545,0.7685812,1.0,0.3101482,0.0591549,5.33e-05,0.2560241,0.4550959,0.4948059,0.284541,0.3333333
115,edm,0.6266531,0.9919986,0.6363636,0.940469,1.0,0.0810718,0.0004839,0.0854125,0.0832329,0.1907164,0.5810572,0.2734318,0.8333333
116,rap,0.6083418,0.8559748,0.8181818,0.8432831,0.0,0.3489168,0.2203219,0.0,0.2921687,0.7860747,0.7896818,0.5228139,0.3333333
117,edm,0.6002035,0.5379191,0.0,0.814953,1.0,0.0496009,0.1428571,0.0,0.1375502,0.1473259,0.6588408,0.364555,0.8333333
118,latin,0.8280773,0.7979646,0.9090909,0.8109297,0.0,0.2588369,0.0458753,0.0,0.1917671,0.6347124,0.4767312,0.3506354,0.6666667
119,rock,0.1648016,0.8669767,0.0,0.8228318,1.0,0.1049031,0.2575453,3.42e-05,0.684739,0.5035318,0.7938679,0.9755357,0.1666667
120,rap,0.5493388,0.7239517,0.3636364,0.8627287,0.0,0.3192702,0.0062475,0.0,0.3825301,0.185671,0.6800983,0.4285047,0.3333333
121,latin,0.8850458,0.6139324,0.5454545,0.7660038,0.0,0.295325,0.4486922,0.0003521,0.0914659,0.8113017,0.4313968,0.3746132,0.6666667
122,latin,0.7029502,0.8729778,0.4545455,0.7897659,0.0,0.0435576,0.331992,2e-06,0.0363454,0.9243189,0.4253537,0.4812148,0.6666667
123,edm,0.5300102,0.9019828,1.0,0.8777319,0.0,0.0711517,0.0153924,1.11e-05,0.6516064,0.1372351,0.5108784,0.3176271,0.8333333
124,edm,0.6632757,0.976996,0.8181818,0.8537393,1.0,0.041049,0.1146881,0.9416499,0.3594378,0.6599395,0.5629325,0.4554797,0.8333333
125,latin,0.4038657,0.5749256,0.4545455,0.7949836,1.0,0.0464082,0.022334,7.04e-05,0.1977912,0.2492432,1.0,0.5211829,0.6666667
126,rap,0.723296,0.8259695,0.0,0.9026465,1.0,0.1402509,0.2987928,0.0,0.2730924,0.654894,0.3951065,0.4711995,0.3333333
127,rock,0.5462869,0.7939639,0.3636364,0.8068437,0.0,0.0594071,0.0013481,0.0009467,0.2841365,0.5176589,0.7555437,0.5508904,0.1666667
128,latin,0.7538149,0.5229165,0.0,0.7458458,1.0,0.0985177,0.8430584,0.9134809,0.1726908,0.7457114,0.4084776,0.3246044,0.6666667
129,pop,0.7873856,0.7819618,0.5454545,0.8704817,0.0,0.1596351,0.6267606,0.1911469,0.1214859,0.6710394,0.4123958,0.3654697,0.5
130,pop,0.8362157,0.7859625,0.4545455,0.8083733,0.0,0.1334094,0.0007616,0.0,0.0800201,0.5852674,0.5219022,0.3492867,0.5
131,rap,0.8453713,0.782962,0.4545455,0.8324917,1.0,0.0600912,0.0794769,1e-06,0.3514056,0.778002,0.6358444,0.4173527,0.3333333
132,rap,0.5005086,0.8049659,0.6363636,0.8596065,1.0,0.3751425,0.0100604,0.0,0.2730924,0.2663976,0.4253945,0.4449115,0.3333333
133,pop,0.5839268,0.2598705,0.5454545,0.6516355,0.0,0.0424173,0.4275654,4e-06,0.1636546,0.3077699,0.3314522,0.4156147,0.5
134,rap,0.7711089,0.6269347,0.4545455,0.8210716,0.0,0.4469783,0.7947686,0.0,0.1154618,0.2603431,0.4398144,0.3319087,0.3333333
135,latin,0.9267548,0.7189508,0.7272727,0.8619743,1.0,0.1345496,0.2344064,0.0007948,0.6014056,0.358224,0.4678414,0.2913509,0.6666667
136,latin,0.8209563,0.6429375,0.9090909,0.8193324,0.0,0.0595211,0.0711268,5.63e-05,0.0868474,0.8284561,0.4312469,0.3802339,0.6666667
137,rap,0.775178,0.5649239,0.6363636,0.8519791,0.0,0.3534778,0.1197183,0.0,0.3192771,0.5580222,0.385908,0.4403184,0.3333333
138,edm,0.5788403,0.9739954,0.4545455,0.872179,0.0,0.0496009,0.0057847,0.9678068,0.2329317,0.0689203,0.5904101,0.2726339,0.8333333
139,latin,0.6978637,0.7219513,0.1818182,0.8601303,1.0,0.2919042,0.1086519,0.0,0.4959839,0.5196771,0.4268111,0.3925712,0.6666667
140,edm,0.7792472,0.8409722,0.8181818,0.8103221,1.0,0.0901938,3.82e-05,0.8661972,0.124498,0.3319879,0.563046,0.7305327,0.8333333
141,edm,0.6347915,0.65694,0.4545455,0.8132766,0.0,0.1527936,0.0421529,0.0,0.2208835,0.4561049,0.4762454,0.2279889,0.8333333
142,pop,0.4944049,0.7589578,0.6363636,0.8705027,1.0,0.0481186,0.0083602,2e-06,0.1415663,0.3128153,0.7263589,0.3177984,0.5
143,edm,0.4984741,0.9069837,0.4545455,0.8881462,0.0,0.1231471,0.0004296,0.0,0.1164659,0.2119072,0.5995723,0.2818882,0.8333333
144,latin,0.8677518,0.765959,0.0909091,0.8993777,0.0,0.0457241,0.0248491,3e-06,0.2730924,0.8425832,0.4359098,0.3756505,0.6666667
145,edm,0.775178,0.7239517,1.0,0.8410829,0.0,0.0711517,0.138833,7.75e-05,0.187751,0.7820383,0.5995451,0.3089333,0.8333333
146,rap,0.4608342,0.9679944,1.0,0.8740859,0.0,0.1185861,0.0162978,5.94e-05,0.1536145,0.4359233,0.3409821,0.2802592,0.3333333
147,pop,0.8860631,0.4719076,0.3636364,0.741173,1.0,0.086203,0.7444668,0.2877264,0.1455823,0.7134208,0.5631731,0.3050155,0.5
148,pop,0.7650051,0.6979471,1.0,0.836452,1.0,0.3489168,0.5231388,0.0,0.2118474,0.3501514,0.5995768,0.3025496,0.5
149,rap,0.7253306,0.6199335,0.0,0.8787168,1.0,0.0481186,0.1720322,1e-06,0.1184739,0.2078708,0.5906416,0.4044005,0.3333333
150,pop,0.5727365,0.1818568,0.0,0.6604153,1.0,0.0444698,0.7847082,0.022334,0.1345382,0.1160444,0.589947,0.3761702,0.5
151,edm,0.6174975,0.6349361,0.5454545,0.8021918,1.0,0.2611174,0.0800805,1.61e-05,0.1124498,0.5933401,0.444677,0.4022148,0.8333333
152,rap,0.7548321,0.7689596,0.6363636,0.8160845,1.0,0.2690992,0.0045473,9.1e-06,0.3293173,0.6266398,0.4185115,0.4385026,0.3333333
153,rap,0.878942,0.5519216,1.0,0.8758879,1.0,0.2303307,0.2002012,0.0,0.126506,0.332997,0.6812651,0.4971741,0.3333333
154,edm,0.7934893,0.725952,0.5454545,0.837374,1.0,0.0697834,0.0379276,0.0033903,0.1335341,0.6286579,0.5539428,0.2865456,0.8333333
155,pop,0.7100712,0.8439727,0.0,0.841963,1.0,0.1778791,0.0102616,0.0330986,0.3855422,0.4419778,0.5811207,0.4447169,0.5
156,pop,0.6185148,0.8829795,1.0,0.8717599,0.0,0.0359179,0.0622736,0.0696177,0.1526104,0.6165489,0.590174,0.4545377,0.5
157,rap,0.6002035,0.6719426,0.0909091,0.7261907,1.0,0.4697834,0.1257545,1e-06,0.1475904,0.6942482,0.9364137,0.5496974,0.3333333
158,edm,0.6103764,0.8729778,0.9090909,0.8732687,0.0,0.0906499,0.0009054,0.0010262,0.1566265,0.2976791,0.5541153,0.2772387,0.8333333
159,pop,0.7141404,0.7809617,0.0,0.887769,1.0,0.0342075,0.4356137,0.0,0.1355422,0.3854692,0.4676325,0.5494677,0.5
160,latin,0.4750763,0.7649589,0.5454545,0.8088762,1.0,0.0354618,0.0041851,5.94e-05,0.7108434,0.1876892,0.5675908,0.5337907,0.6666667
161,edm,0.6805697,0.8439727,0.0909091,0.894202,0.0,0.1391106,0.22334,0.0,0.2198795,0.2684157,0.5769164,0.363687,0.8333333
162,edm,0.5178026,0.6889456,0.0909091,0.8699998,0.0,0.1163056,0.0210262,0.0,0.3022088,0.2996973,0.7722382,0.3693934,0.8333333
163,rock,0.7304171,0.54292,0.3636364,0.7377994,1.0,0.0424173,0.0609658,0.0993964,0.0648594,0.3733602,0.5244992,0.5490493,0.1666667
164,rock,0.5574771,0.8879804,1.0,0.890074,1.0,0.0752566,0.0007907,0.0074145,0.1094378,0.4500505,0.6357627,0.4009965,0.1666667
165,latin,0.7599186,0.6999475,0.0,0.8754479,1.0,0.3888255,0.1368209,0.000168,0.1104418,0.6256307,0.7992481,0.4319359,0.6666667
166,pop,0.6724313,0.7539569,0.0909091,0.7866857,0.0,0.0367161,0.0007465,0.3008048,0.0955823,0.4964682,0.5629415,0.4346081,0.5
167,pop,0.688708,0.5639237,0.9090909,0.7570563,1.0,0.0578107,0.4889336,3.92e-05,0.1034137,0.5025227,0.4359007,0.3717327,0.5
168,rap,0.6531027,0.9329883,0.3636364,0.9127884,0.0,0.0993158,0.0660966,1.01e-05,0.0873494,0.1594349,0.6812152,0.3472101,0.3333333
169,rock,0.6266531,0.7609582,0.2727273,0.7805251,1.0,0.1436716,0.1971831,0.0025151,0.375502,0.7144299,0.6586728,0.4604815,0.1666667
170,rap,0.7761953,0.6869452,0.3636364,0.8331832,0.0,0.1664766,0.0744467,0.0,0.0925703,0.5105954,0.7041934,0.2422296,0.3333333
171,edm,0.6215666,0.8249694,0.0909091,0.8692664,1.0,0.0366021,0.000339,0.139839,0.2158635,0.3259334,0.572072,0.6598412,0.8333333
172,latin,0.8301119,0.805966,0.1818182,0.9099386,0.0,0.0641961,0.0349095,9.05e-05,0.2560241,0.8294652,0.3631613,0.4448142,0.6666667
173,edm,0.8158698,0.5349186,0.8181818,0.7293339,0.0,0.0717218,0.0071529,0.8943662,0.0928715,0.4853683,0.5652934,0.8703217,0.8333333
174,edm,0.8901322,0.9309879,0.8181818,0.8630639,0.0,0.1049031,0.0016499,0.0005885,0.076004,0.6871847,0.581207,0.3428894,0.8333333
